,,,,,,,,,,,,,,,,,,,t=0 (Prime),t=24 (NMP),t=36,t=48,,,,,,,,,,,,,,,,,,,,,,,,,,
P17980,PSMC3,26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,1,,,,3,,,,1,,,,5,,,,1.53E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35609,ACTN2,Alpha-actinin-2 OS=Homo sapiens OX=9606 GN=ACTN2 PE=1 SV=1,1,,,,4,,,,1,,,,2,,,,1.56E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P69905,HBA1; HBA2,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2,1,,,,1,,,,1,,,,8,,,,1.59E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16881,TXNRD1,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3",2,,,,3,,,,2,,,,7,,,,1.61E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P14174,MIF,Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4,1,,,,4,,,,1,,,,18,,,,1.62E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13693,TPT1,Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1,1,,,,2,,,,1,,,,8,,,,1.62E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62495,ETF1,Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=3,2,,,,2,,,,2,,,,10,,,,1.65E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15233,NONO,Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4,1,,,,1,,,,1,,,,5,,,,1.66E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BTT0,ANP32E,Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1,2,,,,3,,,,2,,,,13,,,,1.68E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P42167,TMPO,"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",1,,,,1,,,,1,,,,6,,,,1.69E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15029,EFTUD2,116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1,2,,,,5,,,,2,,,,4,,,,1.74E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P27708,CAD,CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3,1,,,,3,,,,1,,,,1,,,,1.74E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P40939,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",1,,,,1,,,,1,,,,2,,,,1.77E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11217,PYGM,"Glycogen phosphorylase, muscle form OS=Homo sapiens OX=9606 GN=PYGM PE=1 SV=6",2,,,,3,,,,2,,,,3,,,,1.80E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6DD88,ATL3,Atlastin-3 OS=Homo sapiens OX=9606 GN=ATL3 PE=1 SV=1,2,,,,4,,,,2,,,,9,,,,1.83E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UHB9,SRP68,Signal recognition particle subunit SRP68 OS=Homo sapiens OX=9606 GN=SRP68 PE=1 SV=2,1,,,,2,,,,1,,,,4,,,,1.87E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10471,GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2 OS=Homo sapiens OX=9606 GN=GALNT2 PE=1 SV=1,1,,,,3,,,,1,,,,4,,,,1.90E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31942,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,1,,,,1,,,,1,,,,6,,,,1.93E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61970,NUTF2,Nuclear transport factor 2 OS=Homo sapiens OX=9606 GN=NUTF2 PE=1 SV=1,1,,,,2,,,,1,,,,18,,,,1.94E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11586,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=4, C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=4",2,1,,,3,1,,,2,1,,,4,2,,,2.02E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49189,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH9A1 PE=1 SV=3,2,,,,3,,,,2,,,,9,,,,2.03E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9NS69,TOMM22,Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens OX=9606 GN=TOMM22 PE=1 SV=3,1,,,,1,,,,1,,,,18,,,,2.05E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05388,RPLP0,"60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1, 60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1",1,2,,,9,2,,,1,2,,,5,12,,,2.10E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08237,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2, ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2",1,,1,,5,,1,,1,,1,,3,,3,,2.23E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14914,PTGR1,Prostaglandin reductase 1 OS=Homo sapiens OX=9606 GN=PTGR1 PE=1 SV=2,2,,,,2,,,,2,,,,15,,,,2.24E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08243,ASNS,"Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4, Asparagine synthetase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=ASNS PE=1 SV=4",2,1,,,3,1,,,2,1,,,6,4,,,2.25E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P14868,DARS1,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2",1,,,,4,,,,1,,,,4,,,,2.27E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49736,MCM2,"DNA replication licensing factor MCM2 OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=4, DNA replication licensing factor MCM2 OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=4",2,1,,,3,1,,,2,1,,,5,1,,,2.42E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75439,PMPCB,Mitochondrial-processing peptidase subunit beta OS=Homo sapiens OX=9606 GN=PMPCB PE=1 SV=2,1,,,,1,,,,1,,,,4,,,,2.48E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31040,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHA PE=1 SV=2, Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHA PE=1 SV=2",2,1,,,2,1,,,2,1,,,7,3,,,2.48E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P63151,PPP2R2A,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R2A PE=1 SV=1,1,,,,2,,,,1,,,,7,,,,2.48E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05783,KRT18,"Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2",3,,,,4,,,,2,,,,13,,,,2.50E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13423,NNT,"NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=NNT PE=1 SV=3",1,,,,1,,,,1,,,,2,,,,2.52E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07021,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=C1QBP PE=1 SV=1",2,,,,2,,,,2,,,,10,,,,2.55E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12792,TWF1,Twinfilin-1 OS=Homo sapiens OX=9606 GN=TWF1 PE=1 SV=3,2,,,,3,,,,2,,,,10,,,,2.57E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62854,RPS26,40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3,1,,,,1,,,,1,,,,13,,,,2.58E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75533,SF3B1,Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,2,,,,2,,,,2,,,,4,,,,2.58E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02543,RPL18A,"60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2, 60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2",1,1,,,2,1,,,1,1,,,8,8,,,2.61E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99436,PSMB7,Proteasome subunit beta type-7 OS=Homo sapiens OX=9606 GN=PSMB7 PE=1 SV=1,1,,,,3,,,,1,,,,7,,,,2.63E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62714,PPP2CB,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Homo sapiens OX=9606 GN=PPP2CB PE=1 SV=1,1,,,,2,,,,1,,,,8,,,,2.69E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31939,ATIC,Bifunctional purine biosynthesis protein ATIC OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3,1,,,,2,,,,1,,,,4,,,,2.75E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15311,EZR,Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4,2,,,,4,,,,1,,,,6,,,,2.86E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P42765,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2",2,,,,4,,,,2,,,,11,,,,2.91E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62753,RPS6,"40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1, 40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1",1,1,,,2,2,,,1,1,,,7,7,,,2.92E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",3,,,,5,,,,3,,,,4,,,,2.97E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P00441,SOD1,Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2,1,,,,2,,,,1,,,,16,,,,3.00E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P52597,HNRNPF,Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3,1,,,,3,,,,1,,,,4,,,,3.07E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16989,YBX3,Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4,1,,,,4,,,,1,,,,5,,,,3.14E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P39023,RPL3,60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,2,,,,2,,,,2,,,,11,,,,3.17E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05023,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,4,,,,5,,,,4,,,,7,,,,3.27E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23528,CFL1,Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3,2,,,,3,,,,2,,,,20,,,,3.30E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05455,SSB,Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2,1,,,,2,,,,1,,,,3,,,,3.34E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P41252,IARS1,"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS1 PE=1 SV=2",1,,,,1,,,,1,,,,2,,,,3.54E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2,1,,,,2,,,,1,,,,3,,,,3.55E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29508,SERPINB3,Serpin B3 OS=Homo sapiens OX=9606 GN=SERPINB3 PE=1 SV=2,3,,,,3,,,,3,,,,10,,,,3.74E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07814,EPRS1,"Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5, Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5",2,2,,,4,3,,,2,2,,,2,2,,,3.75E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P30044,PRDX5,"Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",1,,,,1,,,,1,,,,8,,,,3.75E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12277,CKB,Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1,1,,,,1,,,,1,,,,4,,,,3.81E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04792,HSPB1,Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2,2,,,,3,,,,2,,,,13,,,,3.85E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P50991,CCT4,"T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4, T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4",2,1,,,5,1,,,2,1,,,7,2,,,3.88E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P60891,PRPS1,Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2,2,,,,3,,,,2,,,,11,,,,3.91E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P68036,UBE2L3,Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens OX=9606 GN=UBE2L3 PE=1 SV=1,1,,,,4,,,,1,,,,16,,,,4.10E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15149,PLEC,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,5,,,,8,,,,5,,,,2,,,,4.14E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q00610,CLTC,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,1,,,,3,,,,1,,,,1,,,,4.17E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35237,SERPINB6,Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3,3,,,,7,,,,3,,,,15,,,,4.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P01857,,Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1,2,,,,2,,,,2,,,,7,,,,4.31E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P20290,BTF3,Transcription factor BTF3 OS=Homo sapiens OX=9606 GN=BTF3 PE=1 SV=1,1,,,,1,,,,1,,,,14,,,,4.35E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07900,HSP90AA1,"Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5, Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5",2,5,,,8,9,,,1,1,,,5,8,,,4.36E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36952,SERPINB5,Serpin B5 OS=Homo sapiens OX=9606 GN=SERPINB5 PE=1 SV=2,3,,,,6,,,,3,,,,15,,,,4.45E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y2T3,GDA,Guanine deaminase OS=Homo sapiens OX=9606 GN=GDA PE=1 SV=1,2,,,,3,,,,2,,,,9,,,,4.50E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62873,GNB1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens OX=9606 GN=GNB1 PE=1 SV=3,1,,,,4,,,,1,,,,7,,,,4.51E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P00505,GOT2,"Aspartate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=GOT2 PE=1 SV=3",2,,,,4,,,,2,,,,7,,,,4.68E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13885,TUBB2A,"Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1, Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1",3,2,,,5,4,,,1,1,,,10,7,,,4.82E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P2V4,LRIT1,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 1 OS=Homo sapiens OX=9606 GN=LRIT1 PE=2 SV=1",1,,,,1,,,,1,,,,2,,,,4.88E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08708,RPS17,40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=1 SV=2,2,,,,4,,,,2,,,,33,,,,4.95E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P46777,RPL5,60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3,2,,,,2,,,,2,,,,12,,,,4.98E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P54136,RARS1,"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS1 PE=1 SV=2",1,,,,3,,,,1,,,,3,,,,5.14E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13804,ETFA,"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1",2,,,,4,,,,2,,,,11,,,,5.14E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0C7P4,UQCRFS1P1,Putative cytochrome b-c1 complex subunit Rieske-like protein 1 OS=Homo sapiens OX=9606 GN=UQCRFS1P1 PE=5 SV=1,1,,,,3,,,,1,,,,7,,,,5.15E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WUM4,PDCD6IP,Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1,1,,,,2,,,,1,,,,3,,,,5.16E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P00338,LDHA,"L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2, L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2, L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2",2,1,1,,3,2,2,,2,1,1,,11,6,6,,5.22E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14980,XPO1,Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1,2,,,,5,,,,2,,,,3,,,,5.24E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07339,CTSD,"Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1, Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1",2,2,,,2,2,,,2,2,,,7,7,,,5.24E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07954,FH,"Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3",2,,,,3,,,,2,,,,9,,,,5.28E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P60174,TPI1,Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=4,3,,,,4,,,,3,,,,24,,,,5.42E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P63104,YWHAZ,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,3,,,,7,,,,3,,,,22,,,,5.47E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12931,TRAP1,"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens OX=9606 GN=TRAP1 PE=1 SV=3",2,,,,6,,,,2,,,,8,,,,5.58E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P49773,HINT1,Adenosine 5'-monophosphoramidase HINT1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=2,1,,,,5,,,,1,,,,19,,,,5.71E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06576,ATP5F1B,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3, ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3, ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",3,1,1,,6,1,1,,3,1,1,,10,5,5,,5.91E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31930,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",2,,,,2,,,,2,,,,9,,,,6.72E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17987,TCP1,T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1,2,,,,6,,,,2,,,,7,,,,6.77E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P26038,MSN,Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3,2,,,,7,,,,1,,,,6,,,,6.81E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05141,SLC25A5,ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,2,,,,3,,,,2,,,,9,,,,7.01E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08729,KRT7,"Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5",5,,,,18,,,,2,,,,15,,,,7.15E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25787,PSMA2,Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2,1,,,,2,,,,1,,,,9,,,,7.27E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02786,TFRC,"Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2, Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2",2,1,,,4,1,,,2,1,,,4,3,,,7.92E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8WXI4,ACOT11,Acyl-coenzyme A thioesterase 11 OS=Homo sapiens OX=9606 GN=ACOT11 PE=1 SV=1,1,,,,1,,,,1,,,,1,,,,8.27E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,7,,,,11,,,,7,,,,7,,,,8.94E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35232,PHB1,Prohibitin 1 OS=Homo sapiens OX=9606 GN=PHB1 PE=1 SV=1,2,,,,5,,,,2,,,,12,,,,9.34E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05787,KRT8,"Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7, Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",6,3,,,17,30,,,3,1,,,15,7,,,9.39E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12905,ILF2,Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=2,3,,,,7,,,,3,,,,20,,,,1.03E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07910,HNRNPC,"Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4, Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4",2,1,,,6,1,,,2,1,,,9,5,,,1.08E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18621,RPL17,60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3,1,,,,3,,,,1,,,,9,,,,1.16E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P63241,EIF5A,Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens OX=9606 GN=EIF5A PE=1 SV=2,2,,,,3,,,,2,,,,16,,,,1.21E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22314,UBA1,"Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3, Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3",6,1,,,16,1,,,6,1,,,11,2,,,1.35E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31949,S100A11,"Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2, Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2",2,1,,,7,2,,,2,1,,,24,15,,,1.43E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31327,CPS1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2, Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2",3,2,,,10,2,,,3,2,,,5,3,,,1.71E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
