Accession,Descriptions,Genes,#.Peptides.QEX3_1226028,#.Peptides.QEX3_1226029,#.Peptides.QEX3_1226030,#.Peptides.QEX3_1226031,#.Peptides.QEX3_1226032,#.Peptides.QEX3_1226033,#.Peptides.QEX3_1226034,#.PSMs.QEX3_1226028,#.PSMs.QEX3_1226029,#.PSMs.QEX3_1226030,#.PSMs.QEX3_1226031,#.PSMs.QEX3_1226032,#.PSMs.QEX3_1226033,#.PSMs.QEX3_1226034,#.Unique.Peptides.QEX3_1226028,#.Unique.Peptides.QEX3_1226029,#.Unique.Peptides.QEX3_1226030,#.Unique.Peptides.QEX3_1226031,#.Unique.Peptides.QEX3_1226032,#.Unique.Peptides.QEX3_1226033,#.Unique.Peptides.QEX3_1226034,%.Coverage.QEX3_1226028,%.Coverage.QEX3_1226029,%.Coverage.QEX3_1226030,%.Coverage.QEX3_1226031,%.Coverage.QEX3_1226032,%.Coverage.QEX3_1226033,%.Coverage.QEX3_1226034,t=0; WTYAP; Abundance.QEX3_1226028,t=24; WTYAP; Abundance.QEX3_1226029,t=36; WTYAP; Abundance.QEX3_1226030,t=48; WTYAP; Abundance.QEX3_1226031,t=0; Y2TAZ; Abundance.QEX3_1226032,t=36; Y2TAZ; Abundance.QEX3_1226033,t=48; Y2TAZ; Abundance.QEX3_1226034,,,,,,
G9CGD6,CNK3/IPCEF1 fusion protein OS=Homo sapiens OX=9606 GN=CNK3/IPCEF1 PE=1 SV=1,CNK3/IPCEF1,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,
O00231,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,PSMD11,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
O00300,Tumor necrosis factor receptor superfamily member 11B OS=Homo sapiens OX=9606 GN=TNFRSF11B PE=1 SV=3,TNFRSF11B,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
O00411,"DNA-directed RNA polymerase, mitochondrial OS=Homo sapiens OX=9606 GN=POLRMT PE=1 SV=2",POLRMT,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
O00462,Beta-mannosidase OS=Homo sapiens OX=9606 GN=MANBA PE=1 SV=3,MANBA,,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,36787.24,,,,,,,,
O00743,Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens OX=9606 GN=PPP6C PE=1 SV=1,PPP6C,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,15266.79,,,,,,,,,,
O14494,Phospholipid phosphatase 1 OS=Homo sapiens OX=9606 GN=PLPP1 PE=1 SV=1,PLPP1,,,,1,,,,,,,1,,,,,,,1,,,,,,,9,,,,,,,,,,,,,,,,
O14579,Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3,COPE,,,1,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,44003.38,,,,,,,,,,
O14594,Neurocan core protein OS=Homo sapiens OX=9606 GN=NCAN PE=1 SV=3,NCAN,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,114046.71,,,,,,,,,
O14735,CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens OX=9606 GN=CDIPT PE=1 SV=1,CDIPT,,,1,,,,,,,1,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,
O14757,Serine/threonine-protein kinase Chk1 OS=Homo sapiens OX=9606 GN=CHEK1 PE=1 SV=2,CHEK1,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
O15047,Histone-lysine N-methyltransferase SETD1A OS=Homo sapiens OX=9606 GN=SETD1A PE=1 SV=3,SETD1A,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
O15075,Serine/threonine-protein kinase DCLK1 OS=Homo sapiens OX=9606 GN=DCLK1 PE=1 SV=2,DCLK1,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
O15131,Importin subunit alpha-6 OS=Homo sapiens OX=9606 GN=KPNA5 PE=1 SV=3,KPNA5,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
O15197,Ephrin type-B receptor 6 OS=Homo sapiens OX=9606 GN=EPHB6 PE=1 SV=4,EPHB6,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,774650.75,,,,,,,,,,
O43296,Zinc finger protein 264 OS=Homo sapiens OX=9606 GN=ZNF264 PE=1 SV=1,ZNF264,,1,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,
O43463,Histone-lysine N-methyltransferase SUV39H1 OS=Homo sapiens OX=9606 GN=SUV39H1 PE=1 SV=1,SUV39H1,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
O43566,Regulator of G-protein signaling 14 OS=Homo sapiens OX=9606 GN=RGS14 PE=1 SV=4,RGS14,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
O43688,Phospholipid phosphatase 2 OS=Homo sapiens OX=9606 GN=PLPP2 PE=1 SV=1,PLPP2,,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,
O43823,A-kinase anchor protein 8 OS=Homo sapiens OX=9606 GN=AKAP8 PE=1 SV=1,AKAP8,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
O43929,Origin recognition complex subunit 4 OS=Homo sapiens OX=9606 GN=ORC4 PE=1 SV=2,ORC4,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
O60242,Adhesion G protein-coupled receptor B3 OS=Homo sapiens OX=9606 GN=ADGRB3 PE=1 SV=2,ADGRB3,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
O60287,Nucleolar pre-ribosomal-associated protein 1 OS=Homo sapiens OX=9606 GN=URB1 PE=1 SV=4,URB1,,1,,,,,,,1,,,,,,,1,,,,,,,0,,,,,,,29618.55,,,,,,,,,,,
O60478,Integral membrane protein GPR137B OS=Homo sapiens OX=9606 GN=GPR137B PE=1 SV=1,GPR137B,,,,,1,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,
O60563,Cyclin-T1 OS=Homo sapiens OX=9606 GN=CCNT1 PE=1 SV=1,CCNT1,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
O60941,Dystrobrevin beta OS=Homo sapiens OX=9606 GN=DTNB PE=1 SV=1,DTNB,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
O60942,mRNA-capping enzyme OS=Homo sapiens OX=9606 GN=RNGTT PE=1 SV=1,RNGTT,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,109590.92,,,,,,,,,
O75069,Transmembrane and coiled-coil domains protein 2 OS=Homo sapiens OX=9606 GN=TMCC2 PE=1 SV=3,TMCC2,,,,1,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,
O75175,CCR4-NOT transcription complex subunit 3 OS=Homo sapiens OX=9606 GN=CNOT3 PE=1 SV=1,CNOT3,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,15209.52,,,,,,,,,,
O75342,"Arachidonate 12-lipoxygenase, 12R-type OS=Homo sapiens OX=9606 GN=ALOX12B PE=1 SV=1",ALOX12B,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,
O75396,Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=5,SEC22B,,,1,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,
O75528,Transcriptional adapter 3 OS=Homo sapiens OX=9606 GN=TADA3 PE=1 SV=1,TADA3,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
O75569,Interferon-inducible double-stranded RNA-dependent protein kinase activator A OS=Homo sapiens OX=9606 GN=PRKRA PE=1 SV=1,PRKRA,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,33263.50,,,,,,,,,,,
O75718,Cartilage-associated protein OS=Homo sapiens OX=9606 GN=CRTAP PE=1 SV=1,CRTAP,,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,58463.49,,,,,,,,,
O75746,Calcium-binding mitochondrial carrier protein Aralar1 OS=Homo sapiens OX=9606 GN=SLC25A12 PE=1 SV=2,SLC25A12,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,22743.61,,,,,,,,,,,
O75818,Ribonuclease P protein subunit p40 OS=Homo sapiens OX=9606 GN=RPP40 PE=1 SV=3,RPP40,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,
O75821,Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2,EIF3G,,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,152226.41,,,,,,,,,
O75928,E3 SUMO-protein ligase PIAS2 OS=Homo sapiens OX=9606 GN=PIAS2 PE=1 SV=3,PIAS2,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
O75934,Pre-mRNA-splicing factor SPF27 OS=Homo sapiens OX=9606 GN=BCAS2 PE=1 SV=1,BCAS2,,,1,,,,,,,1,,,,,,,1,,,,,,,6,,,,,,,,,,,,,,,,,
O75935,Dynactin subunit 3 OS=Homo sapiens OX=9606 GN=DCTN3 PE=1 SV=1,DCTN3,,,1,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,226912.25,,,,,,,,,,
O75937,DnaJ homolog subfamily C member 8 OS=Homo sapiens OX=9606 GN=DNAJC8 PE=1 SV=2,DNAJC8,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,
O76024,Wolframin OS=Homo sapiens OX=9606 GN=WFS1 PE=1 SV=2,WFS1,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,18781.11,,,,,,,,,,
O76039,Cyclin-dependent kinase-like 5 OS=Homo sapiens OX=9606 GN=CDKL5 PE=1 SV=2,CDKL5,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
O76041,Nebulette OS=Homo sapiens OX=9606 GN=NEBL PE=1 SV=1,NEBL,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,379866.59,,,,,,,,,
O94874,E3 UFM1-protein ligase 1 OS=Homo sapiens OX=9606 GN=UFL1 PE=1 SV=2,UFL1,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
O95218,Zinc finger Ran-binding domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ZRANB2 PE=1 SV=2,ZRANB2,,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,315354.09,,,,,,,,,
O95255,ATP-binding cassette sub-family C member 6 OS=Homo sapiens OX=9606 GN=ABCC6 PE=1 SV=2,ABCC6,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,194363.05,,,,,,,,,,
O95390,Growth/differentiation factor 11 OS=Homo sapiens OX=9606 GN=GDF11 PE=1 SV=1,GDF11,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
O95456,Proteasome assembly chaperone 1 OS=Homo sapiens OX=9606 GN=PSMG1 PE=1 SV=1,PSMG1,,,,1,,,,,,,1,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,
O95786,Antiviral innate immune response receptor RIG-I OS=Homo sapiens OX=9606 GN=DDX58 PE=1 SV=2,RIGI,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,593362.13,,,,,,,,,,
O95985,DNA topoisomerase 3-beta-1 OS=Homo sapiens OX=9606 GN=TOP3B PE=1 SV=1,TOP3B,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,141620.00,,,,,,,,,
O96009,Napsin-A OS=Homo sapiens OX=9606 GN=NAPSA PE=1 SV=1,NAPSA,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
P01266,Thyroglobulin OS=Homo sapiens OX=9606 GN=TG PE=1 SV=5,TG,,,1,,,,,,,1,,,,,,,1,,,,,,,0,,,,,,,1015984.94,,,,,,,,,,
P02458,Collagen alpha-1(II) chain OS=Homo sapiens OX=9606 GN=COL2A1 PE=1 SV=3,COL2A1,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
P02788,Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6,LTF,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,5457.43,,,,,,,,,,,,
P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,ALDOA,,,,1,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,
P04083,Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2,ANXA1,,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,
P04792,Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2,HSPB1,,,,1,,,,,,,1,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,
P05154,Plasma serine protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA5 PE=1 SV=3,SERPINA5,,,1,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,
P07093,Glia-derived nexin OS=Homo sapiens OX=9606 GN=SERPINE2 PE=1 SV=1,SERPINE2,,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,49733.77,,,,,,,,,
P07477,Serine protease 1 OS=Homo sapiens OX=9606 GN=PRSS1 PE=1 SV=1,PRSS1,,,1,,,,,,,1,,,,,,,1,,,,,,,8,,,,,,,,,,,,,,,,,
P08218,Chymotrypsin-like elastase family member 2B OS=Homo sapiens OX=9606 GN=CELA2B PE=1 SV=2,CELA2B,,,1,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,
P08236,Beta-glucuronidase OS=Homo sapiens OX=9606 GN=GUSB PE=1 SV=2,GUSB,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
P08559,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3",PDHA1,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,72572.85,,,,,,,,,
P09001,"39S ribosomal protein L3, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL3 PE=1 SV=1",MRPL3,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
P09669,Cytochrome c oxidase subunit 6C OS=Homo sapiens OX=9606 GN=COX6C PE=1 SV=2,COX6C,,,1,,,,,,,1,,,,,,,1,,,,,,,9,,,,,,,149822.47,,,,,,,,,,
P0C7Q5,Putative solute carrier family 35 member G4 OS=Homo sapiens OX=9606 GN=SLC35G4 PE=5 SV=1,SLC35G4,,,1,,,,,,,1,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,
P0CG12,Decreased expression in renal and prostate cancer protein OS=Homo sapiens OX=9606 GN=DERPC PE=1 SV=1,DERPC,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,147917.47,,,,,,,,,
P0DO97,Coiled-coil domain-containing protein 192 OS=Homo sapiens OX=9606 GN=CCDC192 PE=4 SV=1,CCDC192,,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,248864.75,,,,,,,,,
P0DOY2,Immunoglobulin lambda constant 2 OS=Homo sapiens OX=9606 GN=IGLC2 PE=1 SV=1,IGLC2,,1,,,,,,,1,,,,,,,1,,,,,,,9,,,,,,,42611.77,,,,,,,,,,,
P10155,RNA-binding protein RO60 OS=Homo sapiens OX=9606 GN=RO60 PE=1 SV=2,RO60,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
P10599,Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3,TXN,1,,,,,,,1,,,,,,,1,,,,,,,12,,,,,,,13922.57,,,,,,,,,,,,
P10828,Thyroid hormone receptor beta OS=Homo sapiens OX=9606 GN=THRB PE=1 SV=2,THRB,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,
P11137,Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=1 SV=4,MAP2,,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,14522.69,,,,,,,,
P11274,Breakpoint cluster region protein OS=Homo sapiens OX=9606 GN=BCR PE=1 SV=2,BCR,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,55914.15,,,,,,,,,,
P12111,Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5,COL6A3,1,,,,,,,1,,,,,,,1,,,,,,,0,,,,,,,12279.41,,,,,,,,,,,,
P12259,Coagulation factor V OS=Homo sapiens OX=9606 GN=F5 PE=1 SV=4,F5,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,267416.31,,,,,,,,,
P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,TPR,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1",COX4I1,,,1,,,,,,,1,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,
P13987,CD59 glycoprotein OS=Homo sapiens OX=9606 GN=CD59 PE=1 SV=1,CD59,,,,1,,,,,,,1,,,,,,,1,,,,,,,9,,,,,,,,,,,,,,,,
P14406,"Cytochrome c oxidase subunit 7A2, mitochondrial OS=Homo sapiens OX=9606 GN=COX7A2 PE=1 SV=1",COX7A2,,,1,,,,,,,1,,,,,,,1,,,,,,,12,,,,,,,,,,,,,,,,,
P14555,"Phospholipase A2, membrane associated OS=Homo sapiens OX=9606 GN=PLA2G2A PE=1 SV=2",PLA2G2A,,1,,,,,,,1,,,,,,,1,,,,,,,13,,,,,,,,,,,,,,,,,,
P15313,"V-type proton ATPase subunit B, kidney isoform OS=Homo sapiens OX=9606 GN=ATP6V1B1 PE=1 SV=3",ATP6V1B1,,1,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,
P16220,Cyclic AMP-responsive element-binding protein 1 OS=Homo sapiens OX=9606 GN=CREB1 PE=1 SV=3,CREB1,,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,93529.55,,,,,,,,,
P16422,Epithelial cell adhesion molecule OS=Homo sapiens OX=9606 GN=EPCAM PE=1 SV=2,EPCAM,,,,1,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,
P17010,Zinc finger X-chromosomal protein OS=Homo sapiens OX=9606 GN=ZFX PE=2 SV=2,ZFX,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,54895.38,,,,,,,,,,
P17980,26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,PSMC3,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
P18146,Early growth response protein 1 OS=Homo sapiens OX=9606 GN=EGR1 PE=1 SV=1,EGR1,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
P20338,Ras-related protein Rab-4A OS=Homo sapiens OX=9606 GN=RAB4A PE=1 SV=3,RAB4A,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,46007.97,,,,,,,,,,
P20839,Inosine-5'-monophosphate dehydrogenase 1 OS=Homo sapiens OX=9606 GN=IMPDH1 PE=1 SV=2,IMPDH1,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,427592.63,,,,,,,,,
P21359,Neurofibromin OS=Homo sapiens OX=9606 GN=NF1 PE=1 SV=2,NF1,,,,1,,,,,,,1,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
P21462,fMet-Leu-Phe receptor OS=Homo sapiens OX=9606 GN=FPR1 PE=1 SV=3,FPR1,,1,,,,,,,1,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,
P22102,Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,GART,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
P22528,Cornifin-B OS=Homo sapiens OX=9606 GN=SPRR1B PE=1 SV=2,SPRR1B,1,,,,,,,1,,,,,,,1,,,,,,,9,,,,,,,13710.65,,,,,,,,,,,,
P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC2 PE=1 SV=3",UQCRC2,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,
P22830,"Ferrochelatase, mitochondrial OS=Homo sapiens OX=9606 GN=FECH PE=1 SV=2",FECH,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
P23378,"Glycine dehydrogenase (decarboxylating), mitochondrial OS=Homo sapiens OX=9606 GN=GLDC PE=1 SV=2",GLDC,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
P23470,Receptor-type tyrosine-protein phosphatase gamma OS=Homo sapiens OX=9606 GN=PTPRG PE=1 SV=4,PTPRG,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
P23490,Loricrin OS=Homo sapiens OX=9606 GN=LORICRIN PE=1 SV=2,LORICRIN,1,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,23256.71,,,,,,,,,,,,
P23634,Plasma membrane calcium-transporting ATPase 4 OS=Homo sapiens OX=9606 GN=ATP2B4 PE=1 SV=2,ATP2B4,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
P24752,"Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1",ACAT1,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
P25391,Laminin subunit alpha-1 OS=Homo sapiens OX=9606 GN=LAMA1 PE=1 SV=2,LAMA1,,,,1,,,,,,,1,,,,,,,1,,,,,,,0,,,,,,,63818.40,,,,,,,,,
P25789,Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1,PSMA4,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,
P26639,"Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",TARS1,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,37803.51,,,,,,,,,
P27986,Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Homo sapiens OX=9606 GN=PIK3R1 PE=1 SV=2,PIK3R1,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS1 PE=1 SV=3",NDUFS1,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
P29374,AT-rich interactive domain-containing protein 4A OS=Homo sapiens OX=9606 GN=ARID4A PE=1 SV=3,ARID4A,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,120811.61,,,,,,,,,
P29375,Lysine-specific demethylase 5A OS=Homo sapiens OX=9606 GN=KDM5A PE=1 SV=3,KDM5A,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,11593.92,,,,,,,,,,
P30260,Cell division cycle protein 27 homolog OS=Homo sapiens OX=9606 GN=CDC27 PE=1 SV=2,CDC27,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
P30825,High affinity cationic amino acid transporter 1 OS=Homo sapiens OX=9606 GN=SLC7A1 PE=1 SV=1,SLC7A1,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
P35052,Glypican-1 OS=Homo sapiens OX=9606 GN=GPC1 PE=1 SV=2,GPC1,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,123497.80,,,,,,,,,
P35227,Polycomb group RING finger protein 2 OS=Homo sapiens OX=9606 GN=PCGF2 PE=1 SV=1,PCGF2,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,270654.78,,,,,,,,,
P35354,Prostaglandin G/H synthase 2 OS=Homo sapiens OX=9606 GN=PTGS2 PE=1 SV=2,PTGS2,,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,12160.82,,,,,,,,,,
P35916,Vascular endothelial growth factor receptor 3 OS=Homo sapiens OX=9606 GN=FLT4 PE=1 SV=3,FLT4,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
P36954,DNA-directed RNA polymerase II subunit RPB9 OS=Homo sapiens OX=9606 GN=POLR2I PE=1 SV=1,POLR2I,,,,1,,,,,,,1,,,,,,,1,,,,,,,6,,,,,,,,,,,,,,,,
P36969,Phospholipid hydroperoxide glutathione peroxidase OS=Homo sapiens OX=9606 GN=GPX4 PE=1 SV=3,GPX4,,1,,,,,,,1,,,,,,,1,,,,,,,6,,,,,,,17081.33,,,,,,,,,,,
P40692,DNA mismatch repair protein Mlh1 OS=Homo sapiens OX=9606 GN=MLH1 PE=1 SV=1,MLH1,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,
P40818,Ubiquitin carboxyl-terminal hydrolase 8 OS=Homo sapiens OX=9606 GN=USP8 PE=1 SV=1,USP8,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
P41240,Tyrosine-protein kinase CSK OS=Homo sapiens OX=9606 GN=CSK PE=1 SV=1,CSK,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
P42566,Epidermal growth factor receptor substrate 15 OS=Homo sapiens OX=9606 GN=EPS15 PE=1 SV=2,EPS15,,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
P46100,Transcriptional regulator ATRX OS=Homo sapiens OX=9606 GN=ATRX PE=1 SV=6,ATRX,,,,1,,,,,,,1,,,,,,,1,,,,,,,0,,,,,,,84771.24,,,,,,,,,
P47890,Olfactory receptor 1G1 OS=Homo sapiens OX=9606 GN=OR1G1 PE=2 SV=2,OR1G1,,,1,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,270856.81,,,,,,,,,,
P47897,Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1,QARS1,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,25403.98,,,,,,,,,,,
P48431,Transcription factor SOX-2 OS=Homo sapiens OX=9606 GN=SOX2 PE=1 SV=1,SOX2,,1,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,26482.90,,,,,,,,,,,
