Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,Abundance 1245818,Abundance 1245819,Abundance 1245820,Abundance 1245821,Abundance 1245822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q92925,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 OS=Homo sapiens OX=9606 GN=SMARCD2 PE=1 SV=3,2,1,1,1,58.9,SMARCD2,85495.41406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P12955,Xaa-Pro dipeptidase OS=Homo sapiens OX=9606 GN=PEPD PE=1 SV=3,2,1,1,1,54.5,PEPD,,,21331.07813,60996.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11047,Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3,1,1,1,1,177.5,LAMC1,,,,64027.97266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6NUJ1,Proactivator polypeptide-like 1 OS=Homo sapiens OX=9606 GN=PSAPL1 PE=2 SV=2,2,1,1,1,56.6,PSAPL1,,,14937.28809,257843.8594,10988.15039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92817,Envoplakin OS=Homo sapiens OX=9606 GN=EVPL PE=1 SV=3,1,1,1,1,231.5,EVPL,,,,57704.61719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P10619,Lysosomal protective protein OS=Homo sapiens OX=9606 GN=CTSA PE=1 SV=2,3,1,1,1,54.4,CTSA,,,15808.74219,78877.82031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y2W1,Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2,1,1,1,1,108.6,THRAP3,148827.4844,50823.10938,95780.55469,26208.74609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86WX3,Active regulator of SIRT1 OS=Homo sapiens OX=9606 GN=RPS19BP1 PE=1 SV=1,10,1,1,1,15.4,RPS19BP1,57006.29688,19235.42383,19159.71094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35754,Glutaredoxin-1 OS=Homo sapiens OX=9606 GN=GLRX PE=1 SV=2,10,1,1,1,11.8,GLRX,,42257.82031,135720.2656,100227.9688,35036.27344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q8N3R9,Protein PALS1 OS=Homo sapiens OX=9606 GN=PALS1 PE=1 SV=3,2,1,1,1,77.2,PALS1,44910.44922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9Y3R4,Sialidase-2 OS=Homo sapiens OX=9606 GN=NEU2 PE=1 SV=2,2,1,1,1,42.2,NEU2,,,35761.20313,168105.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92833,Protein Jumonji OS=Homo sapiens OX=9606 GN=JARID2 PE=1 SV=2,1,1,1,1,138.6,JARID2,92770.07031,,40176.99609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12874,Splicing factor 3A subunit 3 OS=Homo sapiens OX=9606 GN=SF3A3 PE=1 SV=1,2,1,1,1,58.8,SF3A3,128482.9219,21826.70313,41067.03906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13573,SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1,1,1,1,1,61.5,SNW1,230221.6875,72111.52344,85660.52344,33091.77734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q8N5R6,Coiled-coil domain-containing protein 33 OS=Homo sapiens OX=9606 GN=CCDC33 PE=1 SV=3,1,1,1,1,107.1,CCDC33,,13911.14746,64876.23828,439479.9063,69209.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02452,Collagen alpha-1(I) chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=6,1,1,1,1,138.8,COL1A1,,,240881.1094,8249.726563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q02535,DNA-binding protein inhibitor ID-3 OS=Homo sapiens OX=9606 GN=ID3 PE=1 SV=2,10,1,1,1,13,ID3,64945.89453,42324.24219,37895.35938,,22489.72656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O94850,Dendrin OS=Homo sapiens OX=9606 GN=DDN PE=1 SV=3,1,1,1,1,76,DDN,77107.01563,31824.49805,36667.83203,,21967.33789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14732,Inositol monophosphatase 2 OS=Homo sapiens OX=9606 GN=IMPA2 PE=1 SV=1,3,1,1,1,31.3,IMPA2,,11332.50195,48846.35156,120160.5547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P28070,Proteasome subunit beta type-4 OS=Homo sapiens OX=9606 GN=PSMB4 PE=1 SV=4,6,1,1,1,29.2,PSMB4,,,26113.46094,111053.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61626,Lysozyme C OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1,6,1,1,1,16.5,LYZ,,23848.24414,66469.14844,28102.14453,6299.097656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",2,1,1,1,56.5,ATP5F1B,,39884,48777.64063,,14441.28516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q08431,Lactadherin OS=Homo sapiens OX=9606 GN=MFGE8 PE=1 SV=3,3,1,1,1,43.1,MFGE8,,93052.96875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9H0R6,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial OS=Homo sapiens OX=9606 GN=QRSL1 PE=1 SV=2",2,1,1,1,57.4,QRSL1,,,62875.76953,16566.32617,13481.40039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,O95197,Reticulon-3 OS=Homo sapiens OX=9606 GN=RTN3 PE=1 SV=2,1,1,1,1,112.5,RTN3,,,79372.64844,269594.0625,7916.592773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P26599,Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=2,1,1,1,1,59.6,PTBP1,139370.6563,125111.3906,223685.8438,105260.7969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46782,Small ribosomal subunit protein uS7 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4,4,1,1,1,22.9,RPS5,41071.9375,63273.22266,60606.21875,41258.65234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q07955,Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2,4,1,1,1,27.7,SRSF1,58921.87109,40546.94531,39307.72656,26227.86328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P15309,Prostatic acid phosphatase OS=Homo sapiens OX=9606 GN=ACP3 PE=1 SV=3,3,1,1,1,44.5,ACP3,,,,63309.06641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P25490,Transcriptional repressor protein YY1 OS=Homo sapiens OX=9606 GN=YY1 PE=1 SV=2,2,1,1,1,44.7,YY1,68048.45313,49745.26172,,,75056.77344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P48637,Glutathione synthetase OS=Homo sapiens OX=9606 GN=GSS PE=1 SV=1,2,1,1,1,52.4,GSS,,,34241.18359,115714.1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P12532,"Creatine kinase U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1A PE=1 SV=1",2,1,1,1,47,CKMT1A; CKMT1B,,24069.11914,41544.07813,79413.48438,12437.64844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NEB9,Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Homo sapiens OX=9606 GN=PIK3C3 PE=1 SV=1,1,1,1,1,101.5,PIK3C3,86578.20313,45890.53906,,15894.09277,10170.82324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P37837,Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2,3,1,1,1,37.5,TALDO1,,7735.034668,,48175.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,5,1,1,1,47.1,ENO1,31787.23438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P14543,Nidogen-1 OS=Homo sapiens OX=9606 GN=NID1 PE=1 SV=3,1,1,1,1,136.3,NID1,,,,257780.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",1,1,1,1,274.4,SPTBN1,28258.18945,22898.75391,47343.97266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,2,1,1,1,57.9,PKM,,,77629.91406,335177.4063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75182,Paired amphipathic helix protein Sin3b OS=Homo sapiens OX=9606 GN=SIN3B PE=1 SV=2,1,1,1,1,133,SIN3B,90068.61719,18424.29883,36607.48438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P13284,Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens OX=9606 GN=IFI30 PE=1 SV=3,4,1,1,1,27.9,IFI30,,,15911.78613,157201.2656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WVV4,Protein POF1B OS=Homo sapiens OX=9606 GN=POF1B PE=1 SV=3,2,1,1,1,68,POF1B,,,55345.75,85549.89063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86SJ6,Desmoglein-4 OS=Homo sapiens OX=9606 GN=DSG4 PE=1 SV=1,1,1,1,1,113.8,DSG4,,,270214.7813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15428,Splicing factor 3A subunit 2 OS=Homo sapiens OX=9606 GN=SF3A2 PE=1 SV=2,4,1,1,1,49.2,SF3A2,188157.1875,42630.33984,85439.36719,31759.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61970,Nuclear transport factor 2 OS=Homo sapiens OX=9606 GN=NUTF2 PE=1 SV=1,6,1,1,1,14.5,NUTF2,18874.44531,,59336.20313,277370.0625,8457.298828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99497,Parkinson disease protein 7 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=2,4,1,1,1,19.9,PARK7,,,48420.07031,90622.07813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96L46,Calpain small subunit 2 OS=Homo sapiens OX=9606 GN=CAPNS2 PE=1 SV=2,5,1,1,1,27.6,CAPNS2,,,16584.98047,95763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43759,Synaptogyrin-1 OS=Homo sapiens OX=9606 GN=SYNGR1 PE=1 SV=2,5,1,1,1,25.4,SYNGR1,,,,26336.33789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31483,Cytotoxic granule associated RNA binding protein TIA1 OS=Homo sapiens OX=9606 GN=TIA1 PE=1 SV=3,2,1,1,1,42.9,TIA1,,26725.68945,84356.03125,22319.50195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P25789,Proteasome subunit alpha type-4 OS=Homo sapiens OX=9606 GN=PSMA4 PE=1 SV=1,3,1,1,1,29.5,PSMA4,,14298.03223,39859.4375,127656.3359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62736,"Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1",26,8,34,1,42,ACTA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92841,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,10,6,14,2,80.2,DDX17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14556,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific OS=Homo sapiens OX=9606 GN=GAPDHS PE=1 SV=2",4,2,5,1,44.5,GAPDHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31942,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,5,1,2,1,36.9,HNRNPH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q07666,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1",3,1,2,1,48.2,KHDRBS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43660,Pleiotropic regulator 1 OS=Homo sapiens OX=9606 GN=PLRG1 PE=1 SV=1,6,2,2,2,57.2,PLRG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P04066,Tissue alpha-L-fucosidase OS=Homo sapiens OX=9606 GN=FUCA1 PE=1 SV=4,2,1,1,1,53.7,FUCA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13410,Butyrophilin subfamily 1 member A1 OS=Homo sapiens OX=9606 GN=BTN1A1 PE=1 SV=3,2,1,1,1,58.9,BTN1A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q02880,DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3,1,1,1,1,183.2,TOP2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P10155,RNA-binding protein RO60 OS=Homo sapiens OX=9606 GN=RO60 PE=1 SV=2,2,1,1,1,60.6,RO60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P25787,Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2,9,1,1,1,25.9,PSMA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q13769,THO complex subunit 5 homolog OS=Homo sapiens OX=9606 GN=THOC5 PE=1 SV=2,2,1,1,1,78.5,THOC5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H0W9,Ester hydrolase C11orf54 OS=Homo sapiens OX=9606 GN=C11orf54 PE=1 SV=1,4,1,1,1,35.1,C11orf54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,A0A0B4J1X5,Immunoglobulin heavy variable 3-74 OS=Homo sapiens OX=9606 GN=IGHV3-74 PE=3 SV=1,9,1,1,1,12.8,IGHV3-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q5VVQ6,Ubiquitin thioesterase OTU1 OS=Homo sapiens OX=9606 GN=YOD1 PE=1 SV=1,3,1,1,1,38.3,YOD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,C9J2P7,Ubiquitin carboxyl-terminal hydrolase 17-like protein 15 OS=Homo sapiens OX=9606 GN=USP17L15 PE=3 SV=2,1,1,1,1,62.5,USP17L15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UKK9,ADP-sugar pyrophosphatase OS=Homo sapiens OX=9606 GN=NUDT5 PE=1 SV=1,7,1,1,1,24.3,NUDT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P47929,Galectin-7 OS=Homo sapiens OX=9606 GN=LGALS7 PE=1 SV=2,8,1,1,1,15.1,LGALS7; LGALS7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92769,Histone deacetylase 2 OS=Homo sapiens OX=9606 GN=HDAC2 PE=1 SV=2,4,1,1,1,55.3,HDAC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,P38919,Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4,3,1,1,1,46.8,EIF4A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P13645,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",65,39,1335,32,58.8,KRT10,80135207.6,200501982.5,538922102.1,2038036869,70000517.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",75,51,1271,40,65.4,KRT2,85837246.72,206264137.8,585150351.9,1765352085,58160388.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",53,47,1264,39,66,KRT1,57210070.97,160864864.9,344675065.7,1127913238,42747587.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04259,"Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",36,25,619,2,60,KRT6B,,39859.62891,31602.06055,,39666.32031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P13647,"Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",59,41,493,24,62.3,KRT5,7150260.922,20951431.7,40299872.16,75364866.55,5667871.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02538,"Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",40,28,405,3,60,KRT6A,840673.0527,2465276.32,2410416.957,679614.6543,2461524.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P05787,"Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",15,11,332,1,53.7,KRT8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95678,"Keratin, type II cytoskeletal 75 OS=Homo sapiens OX=9606 GN=KRT75 PE=1 SV=2",20,15,321,2,59.5,KRT75,,,409406.4141,153517.9219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6KB66,"Keratin, type II cytoskeletal 80 OS=Homo sapiens OX=9606 GN=KRT80 PE=1 SV=2",42,19,305,18,50.5,KRT80,119706.3789,541456.1016,1685468.094,8551814.008,163302.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P19013,"Keratin, type II cytoskeletal 4 OS=Homo sapiens OX=9606 GN=KRT4 PE=1 SV=5",7,4,298,1,56.1,KRT4,,43850.46094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",56,30,256,29,62,KRT9,22204700.32,69768575.77,98494451.69,37956062.94,11565834.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7Z794,"Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=1 SV=3",46,31,216,25,61.9,KRT77,124002.6328,1807232.739,5123245.554,32659168.89,117660.1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02533,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",63,29,180,11,51.5,KRT14,4133329.045,12649962.69,15705354.78,14127030.84,3978505.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08779,"Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",34,18,107,6,51.2,KRT16,84636.44336,383826.0625,485927.7969,83252.8125,344634.6895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q04695,"Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2",26,15,75,3,48.1,KRT17,72470.36328,280676.3867,192320.2871,583206.3672,193501.1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P13646,"Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4",15,9,64,3,49.6,KRT13,80403.11328,565456.3438,138577.6992,31297.92383,29927.37012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14CN4,"Keratin, type II cytoskeletal 72 OS=Homo sapiens OX=9606 GN=KRT72 PE=1 SV=2",12,7,49,2,55.8,KRT72,990651.7813,2975117.422,6974071.898,10842591.89,353751.6006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86Y46,"Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1",9,6,48,1,58.9,KRT73,,,294075.25,181675.6094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7Z3Y8,"Keratin, type I cytoskeletal 27 OS=Homo sapiens OX=9606 GN=KRT27 PE=1 SV=2",8,4,46,2,49.8,KRT27,,,229205.7031,314819.8008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N1N4,"Keratin, type II cytoskeletal 78 OS=Homo sapiens OX=9606 GN=KRT78 PE=1 SV=2",32,18,45,16,56.8,KRT78,287220.7559,1058821.125,2516564.676,7977124.156,319175.2832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q3SY84,"Keratin, type II cytoskeletal 71 OS=Homo sapiens OX=9606 GN=KRT71 PE=1 SV=3",10,6,43,1,57.3,KRT71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15323,"Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3",21,9,33,2,47.2,KRT31,,30278.23633,3260608.197,1561290.352,26976.14746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14525,"Keratin, type I cuticular Ha3-II OS=Homo sapiens OX=9606 GN=KRT33B PE=1 SV=3",18,8,31,2,46.2,KRT33B,,,284579.0156,455581.3555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O76013,"Keratin, type I cuticular Ha6 OS=Homo sapiens OX=9606 GN=KRT36 PE=1 SV=1",9,5,23,2,52.2,KRT36,14477.39453,21878.81836,534810.2969,10307.14746,48873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92764,"Keratin, type I cuticular Ha5 OS=Homo sapiens OX=9606 GN=KRT35 PE=1 SV=5",9,4,23,1,50.3,KRT35,,,52205.76953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5T749,Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1,11,7,21,7,64.1,KPRP,88317.40234,48272.75293,541068.3516,5929205.305,152595.3047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43790,"Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1",21,9,17,3,53.5,KRT86,,,727490.5625,768861.7383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P78386,"Keratin, type II cuticular Hb5 OS=Homo sapiens OX=9606 GN=KRT85 PE=1 SV=1",18,9,16,3,55.8,KRT85,,,1091663.496,1538103.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O76011,"Keratin, type I cuticular Ha4 OS=Homo sapiens OX=9606 GN=KRT34 PE=1 SV=3",16,7,10,2,44.7,KRT34,,,127762.8164,190445.5938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9C075,"Keratin, type I cytoskeletal 23 OS=Homo sapiens OX=9606 GN=KRT23 PE=1 SV=2",13,5,7,5,48.1,KRT23,,43752.66699,139767.7637,628539.5625,2869.005615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NSB4,"Keratin, type II cuticular Hb2 OS=Homo sapiens OX=9606 GN=KRT82 PE=1 SV=3",5,3,3,3,56.6,KRT82,,,2078696.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
